Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
KAZN,96266326.50935854,112574968.15951987,106607178.6658292,232706279.96397164,244952362.4624177,232230348.0147624,218140955.50082526
KBTBD11,3053449765.8548822,3369623896.3424582,3243136797.746067,3847308461.828608,3200075658.904503,2999247415.591124,2806321220.0307393
KBTBD6,125297186.20037399,103860814.16328993,124550440.59948608,16565078.591755312,16565078.591755312,5686604000.120075,16565078.591755312
KCMF1,13468614.037127493,23364584.390837654,13403365.004795933,25537108.001195423,25537108.001195423,25537108.001195423,25537108.001195423
KCNA1,35448209.48165269,121161925.74983224,78257213.3302784,159513513.95538723,109203330.6381151,113487725.06883976,126363579.56886809
KCNA2,365866886.1280127,605589794.2897205,770828705.1088777,619384405.0083003,472262111.2502792,557823386.735372,526560069.2911143
KCNAB1,9723458.221067617,40259072.920144886,9723458.221067617,10075407.365097806,10075407.365097806,10075407.365097806,10075407.365097806
KCNAB2,392279697.9704908,821931667.4445726,740210836.555666,1370137192.972305,954532384.6652172,1763429726.05351,1403351306.5024967
KCNB1,9105396.716815118,9105396.716815118,9105396.716815118,6386089570.40199,15221663.811411012,15221663.811411012,15221663.811411012
KCNC1,218434195.04034635,323973222.30691,280425178.0551343,449974278.31782067,563154693.7531644,1053103074.5529523,698066485.460227
KCNC3,9674863.883340567,65809613.19768249,50849429.21157842,13085035.369589658,13085035.369589658,13085035.369589658,13085035.369589658
KCND2,9588971.181282321,182610537.21122313,9588971.181282321,12399002.101222837,12399002.101222837,967449994.5384921,12399002.101222837
KCND3,26102159.545420002,9102737.56594302,97153896.11870721,15137307.329350526,282474260.13550377,309986700.14251333,15137307.329350526
KCNG3;KCNA4,9200972.116989689,9200972.116989689,9200972.116989689,14251829.549823888,14251829.549823888,14251829.549823888,14251829.549823888
KCNH2,10100603.32841407,10100603.32841407,10100603.32841407,9426509.757338932,9426509.757338932,9426509.757338932,9426509.757338932
KCNIP4,23315009.46782081,114245590.12063755,149907629.3318869,10327496.84086718,10327496.84086718,10327496.84086718,10327496.84086718
KCNJ10,10199006.228345972,10199006.228345972,10199006.228345972,77563911.560623,70131768.78073855,83932928.22430587,11211437.339390768
KCNMA1,39422252.656579494,119518303.02353042,33176178.17719181,184023302.23437434,29218777.291424695,29218777.291424695,151918470.56385
KCNN3,9965165.484049305,9965165.484049305,9965165.484049305,10295458.430263296,10295458.430263296,10295458.430263296,10295458.430263296
KCNQ2,7759403.611040728,7759403.611040728,7759403.611040728,17202682.266663175,17202682.266663175,17202682.266663175,17202682.266663175
KCTD12,6754073023.999992,6217546962.8418255,4671775849.754854,5282230763.4971485,6978636783.064583,5001807123.151995,3722597431.8645043
KCTD16,360472232.08526427,591776001.2478002,202554267.07183874,65780584.464998975,818932585.261945,65780584.464998975,65780584.464998975
KCTD17,14798415.462978916,82207.5746670159,14798415.462978916,9591323.676754037,13865481.825194875,9591323.676754037,9591323.676754037
KCTD21,34566311.17415552,7766190.560368403,7766190.560368403,20646510.6290956,20646510.6290956,20646510.6290956,20646510.6290956
KCTD4,10070025.757263422,10070025.757263422,10070025.757263422,11549778.125802273,11549778.125802273,11549778.125802273,11549778.125802273
KCTD8,133466274.60965364,372920776.80672663,471445475.1370784,688631547.393094,504713524.7166902,573393016.6858213,386478111.91639787
KDM1A,158176918.04675162,89862330.09733579,100042743.06226976,22611692.620346084,22611692.620346084,22611692.620346084,22611692.620346084
KDM4B,11533263.4827458,11533263.4827458,11533263.4827458,192734985.18992123,10210951.770754056,10210951.770754056,10210951.770754056
KDM8,191575919.23479187,170265127.52192214,180540886.7405707,21516195.08358914,21516195.08358914,21516195.08358914,21516195.08358914
KDSR,10489047.66343715,10489047.66343715,10489047.66343715,187146860.47282383,10952447.429722525,10952447.429722525,10952447.429722525
KHDRBS1,7827554981.933814,4915779659.226022,5277529723.860311,2115012072.6299486,3088472213.414907,1949117243.8164318,1927871354.1969981
KHDRBS3,7820560.1455287635,7820560.1455287635,79500441.30112287,21028306.597256955,21028306.597256955,21028306.597256955,21028306.597256955
KHSRP,3178862527.1182323,2667965131.2148104,3035108651.7739816,2789354497.397327,3322384861.2204223,2959827037.038617,2878350104.6500564
KIAA0195,9550683.910727376,9550683.910727376,9550683.910727376,17477343.948702354,17477343.948702354,17477343.948702354,17477343.948702354
KIAA0196,259486052.09684727,168679546.79879275,223860628.84544128,164577563.01006404,177286022.4541582,144585453.3945159,118513232.86682403
KIAA0368,97706875.98227154,100124919.47197504,56725202.43177434,237281260.2945143,258958086.67530218,165318002.0967066,38641336.38589778
KIAA0513,882075472.1901397,2164723436.5764,2202717734.0047097,2568096077.4572353,2011546254.006782,2505635105.758469,1847484083.7713933
KIAA1033,68064104.57789208,105415745.22454624,48900258.98103128,250259975.95360175,31874101.61196622,31874101.61196622,31874101.61196622
KIAA1045,77214058.695855,504168734.0883192,410361361.4510372,632376257.6082367,393456531.74599624,401539866.3466464,61026768.39757231
KIAA1107,32945543.259976435,223567366.45062122,132546568.60418822,312706538.812174,204787866.5461947,201675178.59129524,21126810.098046366
KIAA1109,9334950.999136733,9334950.999136733,9334950.999136733,11807128.334067112,11807128.334067112,11807128.334067112,11807128.334067112
KIAA1147,10085402.648040762,10085402.648040762,10085402.648040762,11160950.335617244,11160950.335617244,11160950.335617244,11160950.335617244
KIAA1191,11722391.289713733,11722391.289713733,11722391.289713733,10096034.972694203,10096034.972694203,10096034.972694203,10096034.972694203
KIAA1211,9854164.9045065,9854164.9045065,9854164.9045065,15811402.148784908,15811402.148784908,15811402.148784908,15811402.148784908
KIAA1211L,9559656.489498684,9559656.489498684,9559656.489498684,14099030.060663406,14099030.060663406,14099030.060663406,14099030.060663406
KIAA1217,19692563.792219155,87883774.81107543,25086795.16549357,29394291.88493995,29394291.88493995,57768089.375119515,29394291.88493995
KIAA1244,623162164.3138881,1006766477.6648227,765114538.5195212,866681351.1184028,916450583.779373,960443893.3997306,752868049.0185933
KIAA1279,762940207.8840673,1413241508.2728574,357368234.89644396,510709064.90832454,388270998.06990325,412441851.7010895,410244598.0190586
KIAA1429,10470983.402645597,10470983.402645597,10470983.402645597,10385828.316743586,10385828.316743586,10385828.316743586,10385828.316743586
KIAA1462,9648178.746376446,9648178.746376446,9648178.746376446,9933436.875685556,9933436.875685556,9933436.875685556,9933436.875685556
KIAA1467,9879847.995844547,56505817.268945865,9879847.995844547,11760019.560366543,11760019.560366543,11760019.560366543,687072281.0442194
KIAA1468,526288060.29651326,837955644.6311142,285286859.7437964,2129003881.38053,1773980092.9248757,1780755865.8713858,1750831591.5157926
KIAA1549,7602084.152732829,7602084.152732829,7602084.152732829,19505867.468464233,19505867.468464233,19505867.468464233,19505867.468464233
KIAA1549L,290640975.25767887,390199483.3282783,7153736.879699074,278391254.66459167,21370810.911441874,21370810.911441874,21370810.911441874
KIAA1598,593194642.9130095,572838358.0056508,548455424.5871788,927766822.8666892,451915283.44299936,1017324995.3372175,967523141.7295663
KIAA1671,9855884.908445267,9855884.908445267,9855884.908445267,10454914.140825463,10454914.140825463,10454914.140825463,10454914.140825463
KIAA1715,152228093.68492806,4201927.249182606,4201927.249182606,245386629.26150396,259176475.75841865,236673498.96078655,24450956.53875421
KIDINS220,20870332.907390315,10067831.49353568,10067831.49353568,11069871.903213369,11069871.903213369,11069871.903213369,11069871.903213369
KIF14,10196772.427807638,10196772.427807638,10196772.427807638,9619890.463740826,9619890.463740826,9619890.463740826,9619890.463740826
KIF1A,1027984125.7847524,1837251958.0458808,1534788475.5516148,1735398207.374333,1276940907.0565228,1526533229.013441,1187223866.6392543
KIF1B,9609883.633288367,9609883.633288367,9609883.633288367,11529662.872400073,11529662.872400073,11529662.872400073,11529662.872400073
KIF21A,1279141695.9945276,2299253160.3496437,1744815499.4947417,3256441803.3579626,2267624673.486796,3153939180.6072035,2801606969.331245
KIF21B,18572357.599417698,6180310.837608062,6180310.837608062,28085411.698770996,28085411.698770996,704028927.9504719,28085411.698770996
KIF2A,1488501305.7269485,1174983947.0525665,1272889125.3436842,1781341069.3167267,1081295775.6135974,1580143554.5849373,1052794672.7489932
KIF3A,233636393.3735628,255742632.91428003,142106046.1048336,322063224.6653674,238815063.94983098,280056600.1303799,182726643.47787046
