Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
DOC2A,221122929.37775534,93636382.92295317,80773879.56083508,39170269.32872992,39170269.32872992,39170269.32872992,39170269.32872992
DOCK1,8527180.441975433,46991246.27652086,56995656.38056408,109455779.07410853,109477863.39732684,76346916.03292683,74892677.86299936
DOCK10,16695173.411589844,28903050.333766498,25765814.892705552,17697586.50834958,44465902.891352154,68450944.48508988,17697586.50834958
DOCK11,10138815.929564655,10138815.929564655,10138815.929564655,9963241.306084808,9963241.306084808,9963241.306084808,9963241.306084808
DOCK3,436526442.66298985,556810944.8313974,265055071.4218034,220154178.73767662,486534405.47699165,528224259.91172904,484472922.97961646
DOCK4,110231531.21600349,61856018.124274634,80507735.00034453,140242826.5685842,96754088.67996074,43680375.093498096,284072103.4661391
DOCK5,284754953.7586915,9454903.792931804,334294664.497085,12713758.231394319,12713758.231394319,12713758.231394319,12713758.231394319
DOCK7,22649069.346861243,8294800.98364455,58487952.124050155,19932392.28790593,19932392.28790593,19932392.28790593,19932392.28790593
DOCK9,381535816.8073394,142273119.98628655,175910270.0022656,461782489.5837375,392096424.8456815,453351027.31601554,412415287.5639873
DOPEY2,18103022.996274896,28014014.34489886,27621208.628728196,15421665.001836395,15421665.001836395,15421665.001836395,15421665.001836395
DPF3,9955393.085954452,9955393.085954452,9955393.085954452,9593413.896585625,9593413.896585625,9593413.896585625,9593413.896585625
DPM1,52507088.50302008,45972101.95586152,67269378.582688,49058059.1253088,49058059.1253088,49058059.1253088,49058059.1253088
DPM3,17285497.872502126,9680110.580748897,9680110.580748897,12219864.596856462,12219864.596856462,12219864.596856462,12219864.596856462
DPP10,1505761142.8624146,1180399960.5135238,848041808.8468852,1117532632.7557037,853079529.2074018,1453740867.2412386,1269145680.4996536
DPP3,633243241.5227356,363344807.8817796,574348339.7443138,381446195.63145834,532663052.5720817,485400136.8079798,537956325.7679144
DPP6,5175970464.322649,5271074848.772682,4791190072.445459,3149784520.192618,3577281019.141326,5434946122.347228,2743546030.6717496
DPP7,15025807.556527512,118933908.62434138,200047292.6920168,267823514.9011848,312037096.6112315,301272735.30231035,36554116.868320994
DPP8,20147594.66200722,10099772.83495574,35434415.707652025,13440952.58944871,13440952.58944871,13440952.58944871,13440952.58944871
DPY19L1;DPY19L2,9913456.001081066,66798081.87945977,9913456.001081066,9716834.883471314,9716834.883471314,9716834.883471314,9716834.883471314
DPY30,40227636.027055584,75804152.84202147,105213575.62281841,54131295.96237741,54131295.96237741,54131295.96237741,54131295.96237741
DPYSL2,196991855019.10895,285925547576.94965,241130953681.44028,279916006799.48236,265211737763.51923,287124997353.44354,251121934637.85535
DPYSL3,65413295470.74838,25575365430.945038,16838404560.749077,14232831721.232342,17017170515.570997,15528716477.458511,11266300057.488855
DPYSL4,13524803477.578844,8700687559.891117,4980006214.364689,7195990734.835056,5606863997.592028,6476472016.962142,7288473666.483513
DPYSL5,45541267742.45348,23282528192.03791,16019152347.892548,27230319201.970287,19826828431.32259,16947263062.158075,16368574066.8986
DR1,8408064.618181631,92290104.02431759,106966532.41465156,294153138.90502423,17580045.999374315,17580045.999374315,17580045.999374315
DRAP1,10486372.852825273,10486372.852825273,10486372.852825273,10673781.67849212,10673781.67849212,10673781.67849212,10673781.67849212
DRG1,87648859.10399736,86708025.88773322,87741900.8957964,111693763.84614302,31951694.33644552,113803474.61084373,31951694.33644552
DRG2,164525889.30408362,114149368.49524982,9553592.660648279,32701515.58905095,13436809.4749443,13436809.4749443,64876535.95197557
DSCR3,24031647.69252336,9170440.561096013,9170440.561096013,15505162.201226749,15505162.201226749,613148314.1378003,15505162.201226749
DSP,52645940.53031222,259180499.13333818,293988999.32651716,13078706.678912751,1426690547.679422,13078706.678912751,13078706.678912751
DST,1930964404.296698,1783092230.6984398,1840942576.4637015,2423604030.6944923,2842706954.636456,1772528832.9882047,2057797177.0109713
DSTN,4691746132.805609,7234770615.48736,5279675935.234721,6711681247.337129,5775662157.312437,5602400629.004996,4971765106.536348
DTD1,114725259.86729182,40656963.10125517,108785638.69892155,51771197.70270824,573648347.292462,780673362.184956,925157106.152288
DTNA,153752163.96070322,428058858.7728342,294945307.5322679,611252742.2471596,284052332.53689575,477883466.5617049,50263371.492494114
DTX3,62619748.39541192,6276932.437555335,46784086.358026266,31576739.310327254,322928828.6623897,31576739.310327254,31576739.310327254
DTX3L,9886947.617356293,9886947.617356293,9886947.617356293,8800026.439884098,8800026.439884098,8800026.439884098,8800026.439884098
DTYMK,17350515.18987022,9830440.440834956,9830440.440834956,12301839.603142975,12301839.603142975,12301839.603142975,12301839.603142975
DUSP19,10040661.779979546,10040661.779979546,10040661.779979546,9441162.343162458,9441162.343162458,9441162.343162458,9441162.343162458
DUSP23,77697476.69990656,9228229.6083354,9228229.6083354,13231314.19938984,13231314.19938984,13231314.19938984,13231314.19938984
DUSP3,2222614822.969873,2476963416.94022,1880247153.1821246,2091813725.945929,1776088763.914114,2107790645.2318187,1852702934.097108
DUT,347269945.54561573,182181782.76142406,808997751.2185577,521522737.8933277,566504771.8298194,540141059.65459,660249957.9201795
DXO,31215692.15735733,9430896.793460358,9430896.793460358,26835292.562851354,26835292.562851354,26835292.562851354,26835292.562851354
DYNC1H1,75110556091.15285,76802995573.84528,55157413044.90232,75033066060.9446,74130985963.14882,72484017308.58324,70918174038.28886
DYNC1I1,1352694798.2121098,1933089554.8848808,1127954955.5253673,1875063014.1907992,1923647283.288618,1699195007.5848513,1511772326.9458752
DYNC1I2,1584316657.8542945,2397556432.10155,902364253.4548576,1598162738.20021,1263998803.3724065,602596614.0880198,51922629.19197178
