Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
EIF4A3,469935723.9246648,428253466.2526801,9157158.495879194,330144352.52701646,16951105.16278418,262984759.39507616,206789559.07752028
EIF4B,582819245.5791728,421008215.22386813,847015308.486405,462841772.6150177,35047175.07033371,510872292.3003943,268601338.23792285
EIF4E,549274381.2116362,350135697.1045,451445646.836682,565537532.4566977,460535370.8873268,648118747.42763,41326801.791875064
EIF4E2,9199560.571019806,9199560.571019806,63938029.40255032,24440270.979406584,24440270.979406584,24440270.979406584,24440270.979406584
EIF4EBP2,9635744.411481218,9635744.411481218,9635744.411481218,10249831.080950294,10249831.080950294,10249831.080950294,10249831.080950294
EIF4G1,1512413444.012676,1213740216.6483846,1136918428.2587476,840737469.8230805,600100386.2548478,787808566.7809232,50247400.39882567
EIF4G2,753369519.1585032,389070848.32139075,540309258.7727978,649210389.8753313,418710243.22963333,525917955.22628313,212954797.19753072
EIF4G3;CBFA2T2,174350489.95249534,93048507.96490346,143614722.00611666,66076271.18422707,461708419.58979696,66076271.18422707,66076271.18422707
EIF4H,1558425973.9950836,1654515607.3693843,1661358305.3597085,2172470475.131775,1342473421.1098013,1365314328.1233082,973026322.8422229
EIF5,754315415.8868947,750761862.9397253,931229252.0341144,750951977.5547237,697256519.0105368,726030539.0006726,422904396.5181932
EIF5A,6667503829.495861,3560792145.5329084,5293162926.222103,1848145892.4507165,1526026086.90123,1429649814.3291745,1042095860.3574902
EIF5B,151099837.45539746,96856885.56774372,135417541.14634854,26766432.602202356,26766432.602202356,26766432.602202356,26766432.602202356
EIF6,325829292.7649643,226737255.29447797,169312719.84906015,387606731.71203977,36344303.42634317,351624641.02458525,36344303.42634317
ELAC2,9598532.649851613,9598532.649851613,9598532.649851613,11434103.877213392,11434103.877213392,11434103.877213392,11434103.877213392
ELAVL1,553819379.6838971,483466390.1779746,334645580.836546,406483589.3067695,321857842.8230253,470118419.4784629,192828461.40830952
ELAVL2,454566625.9187098,412355494.91072315,513498778.2114691,515803965.4168827,436972897.16807014,594338589.2901132,379856756.1579341
ELAVL3,468705485.100273,343788890.5003154,370759800.5856108,389578215.290225,25317273.15196767,25317273.15196767,25317273.15196767
ELAVL4,10219624.923676785,10219624.923676785,10219624.923676785,10956050.343816906,10956050.343816906,10956050.343816906,10956050.343816906
ELF2,18135925.97616563,18135925.97616563,18135925.97616563,76231034.63309917,9073933.852385212,65872023.33482177,9073933.852385212
ELFN2,35077727.470254645,123075435.21945143,9269491.006076016,399664493.66642106,14247741.797767874,14247741.797767874,14247741.797767874
ELMO1,198631880.8887756,119095250.13473769,460688507.79426014,203041837.41947448,32595303.043728095,158175379.60663626,32595303.043728095
ELMO2,90501828.37817018,73280583.74242963,86890923.2708245,31139891.3327494,31139891.3327494,31139891.3327494,31139891.3327494
ELMOD1,26247782.500066437,9562528.620493956,69399402.3919707,12722526.53964249,12722526.53964249,12722526.53964249,12722526.53964249
ELOVL4,10470973.037619734,10470973.037619734,13821513.016924147,10385798.63919743,10385798.63919743,10385798.63919743,10385798.63919743
ELP2,24918460.333659045,9555358.402075797,9555358.402075797,20750504.52239102,20750504.52239102,20750504.52239102,20750504.52239102
ELP3,10251481.096420208,10251481.096420208,10251481.096420208,11455652.467973778,11455652.467973778,11455652.467973778,11455652.467973778
EMC1,53843689.53159107,147472621.56282815,26200728.79808046,228730763.15905225,291059425.0377037,202680655.17557153,53416320.694699354
