Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
ACTN1,10839061121.935537,10214327181.490643,9143472000.178522,9458359814.393772,11272151244.437,11725625037.911667,8151144273.040582
ACTN2,640429837.4071008,347469553.1889637,552901079.0307034,187456994.50086865,121465012.3605393,192102339.540791,26045650.46560134
ACTN4,6118899247.436636,5250048353.22875,4616193965.187321,5697542748.976317,4926270915.903381,5307829252.466223,6654443210.301654
ACTR10,1001626349.4348109,1175130232.29032,1387442977.5047672,809221920.5256712,665979498.24982,1082993989.8879943,612582592.8052347
ACTR1A,9382507373.77116,9170505979.940664,11122166238.178164,9662677298.931906,9126653406.71346,8579784287.97018,10509736266.760225
ACTR1B,1662729972.7595348,2912210280.1245737,2981015975.793172,1971054340.40983,2037862906.0959394,2225460124.206881,1964896282.1252584
ACTR2,5664033946.950684,4524580119.139751,3999494423.614119,5659732370.963828,5757882831.866885,5387425636.825232,4191548141.9040637
ACTR3,8069974915.044677,6575554795.711369,6237204156.011824,7273932787.919403,7508247811.875965,7211207650.86563,6149678341.122591
ACTR3B,1890722953.9481783,1894812084.260883,1327446401.6990333,989534252.9421142,1759595824.3768349,1615801624.768614,724297274.7134228
ACVR1,10025189.613764832,10025189.613764832,10025189.613764832,9864818.325083673,9864818.325083673,9864818.325083673,9864818.325083673
ACY1,80246427.32429227,143111988.44763887,115433903.82936668,153172144.96634203,322739126.17283875,313197300.3953274,174291128.54807213
ACY3,10589080.560993312,10589080.560993312,10589080.560993312,10603633.355230613,10603633.355230613,10603633.355230613,10603633.355230613
ACYP1,839789924.8425012,693230317.2684712,549611175.685731,872711962.9019206,659256810.0459743,898243090.9284624,638296291.3718611
ACYP2,2040207190.93167,2315086282.6743436,1735810430.4248848,3074361188.8583064,2918791362.589604,3318896528.1339197,2591365903.2731986
ADA,8584770.737418177,8584770.737418177,35022320.203718714,20285815.31091,20285815.31091,20285815.31091,20285815.31091
ADAM10,62570798.24339762,381391534.79451656,336654552.26327884,376655913.71856934,310130754.91236585,294345683.9178154,511930619.53685206
ADAM11,240844398.9418345,207334949.3613468,236621078.71366715,563644734.8495842,268808932.50398725,43097430.26369757,444802381.9913391
ADAM22,1309658501.3243995,1296452101.1079948,1352564935.841541,1648945488.8758817,1199274356.8523028,1658709488.8497133,1670703158.295378
ADAM23,1639065964.9508145,1719961735.7511392,2004267644.1192014,1495019591.450578,1468887803.8313403,1396641303.2410738,1646132273.0200982
ADAM9,10105232.994155226,10105232.994155226,10105232.994155226,7917469.481036535,7917469.481036535,7917469.481036535,7917469.481036535
ADAP1,1262161432.9903796,724419947.8953545,806901102.9455409,1393816075.423104,1484288091.830755,1181197022.3708472,1389765603.0196543
ADAR,145373457.5051042,205301031.02038014,1208592298.3021572,55567888.393547155,424181369.7728014,287439841.1570846,124416950.20268242
ADARB1,9984442.041579789,9984442.041579789,9984442.041579789,11382549.365606051,11382549.365606051,11382549.365606051,11382549.365606051
ADCK3,77315384.73445174,161768295.35192102,117939786.42864639,267035519.24550012,230777193.9475451,240725877.73178297,41224968.122937866
ADCY1,391227876.74289006,148037828.36354226,110190287.04479587,139018938.76713,259431153.05384058,27552829.179386094,243638082.5989987
ADCY2,10525855.043526994,74360157.0776264,90998575.46042417,354784499.75256556,866887921.1144574,52643917.141675375,52643917.141675375
ADCY5,32200268.06630915,42637933.518533655,26691242.792855322,21253466.142177,52968664.7441546,73946408.49749146,39073529.81626671
ADCY8,196398157.83602118,228593183.0928833,225846793.82862234,599822204.3092203,866827222.9481325,694475756.6222777,697610756.0381893
ADCY9,17200776.9360301,37551143.077076875,33684547.01519321,15307045.466991639,15307045.466991639,15307045.466991639,15307045.466991639
ADCYAP1R1,9245646.968087435,168711434.06973153,141984661.53296536,289814540.0382492,294053005.3230438,289544009.99480146,204635132.53512585
ADD1,9650136444.903858,11064977139.456469,10188265427.534075,13652025722.988619,10101154481.047827,10065817396.090382,6791880040.336914
ADD2,9463249974.33265,9306390730.232134,8469100117.288675,10369478414.615295,10704342741.823029,9456639707.868813,7137674478.607427
ADD3,3013704125.0126004,4114246002.1161995,3715564216.798642,4579815622.3179455,3232820668.9999566,4060981611.7903957,2654297669.791758
ADH1B,10345966.244149964,10345966.244149964,10345966.244149964,10910217.9716155,10910217.9716155,61524088.20191889,10910217.9716155
ADH5,6111186429.12838,6909707827.4550295,5929867426.622094,6166033616.214907,6500236506.090473,7845851986.098191,5741617926.735874
ADHFE1,62302596.88980815,56797994.77099144,63739659.58451862,15823405.47764019,15823405.47764019,15823405.47764019,15823405.47764019
ADIRF,101454947.55419414,124706338.29826385,135560097.3044038,31067261.67960347,31067261.67960347,244077460.30446154,31067261.67960347
ADK,500738614.0440269,331425009.345348,216728881.6605227,390817177.39698005,399168508.42437404,384724864.44356155,389585872.02470475
ADNP,9029991.335553855,9029991.335553855,45173437.310726434,21920758.17753569,21920758.17753569,21920758.17753569,21920758.17753569
ADO,246478763.26908827,103533285.78014553,140788586.47045198,32897146.548453923,32897146.548453923,140417703.31633994,199116731.62946197
ADPRHL2,160414231.594626,121756754.47239737,122036414.79889405,16416441.964767734,16416441.964767734,16416441.964767734,201557742.268893
ADRBK1,264416838.9977181,168900670.56540388,139945155.26388517,397664993.710515,205700489.74865478,411640804.68642133,244348896.24202582
ADRBK2,22568471.320060115,9917417.527479883,9917417.527479883,9817158.146844242,9817158.146844242,9817158.146844242,9817158.146844242
ADRM1,176889418.03068823,104235048.47359052,109260489.98457064,41445202.545137234,41445202.545137234,278282160.4154164,41445202.545137234
ADSL,260284181.46015432,207073834.05038592,203121484.504724,238056194.22219115,195648514.73310444,254910097.74352857,150982001.94539392
ADSS,951049711.0327426,986950477.0538517,1050482673.9486632,598067267.0547338,688179377.5232333,862609842.3023462,797924876.7509893
AF196779.12,469116220.0838228,270938390.8336331,346697517.3112546,585600917.3800097,47659731.737232655,396835951.3776275,47659731.737232655
AFAP1L1;AFAP1,10070012.130219152,10070012.130219152,10070012.130219152,10012450.040912053,10012450.040912053,10012450.040912053,10012450.040912053
