Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
ADAM9,10105232.994155226,10105232.994155226,10105232.994155226,7917469.481036535,7917469.481036535,7917469.481036535,7917469.481036535
ADAP1,877437438.8214208,1425188420.8342032,1234048240.6496062,991650880.8820941,1164264951.0875354,881485428.6259387,1115966823.5435386
ADAR,290614941.34034127,194071403.1270366,280217594.2456676,196004782.66512394,414247615.4004036,217184577.39280656,420242464.296623
ADARB1,9984442.041579789,9984442.041579789,9984442.041579789,11382549.365606051,11382549.365606051,11382549.365606051,11382549.365606051
ADCK3,353072127.421352,184654667.18125844,346714872.24043965,41224968.122937866,41224968.122937866,41224968.122937866,41224968.122937866
ADCY1,215165546.81130618,113086732.79851736,76203635.72395183,185080651.5064257,205798315.9480163,215730539.7681762,101696703.78346132
ADCY2,395924115.2503827,217609166.75281313,265848497.83765662,420421206.5080199,870291470.4276656,52643917.141675375,52643917.141675375
ADCY5,24676658.961146444,7050438.026737699,42972138.05464352,25637821.86645005,23991204.601629835,24913271.07544739,21253466.142177
ADCY8,121379001.16944337,81817499.9914588,157407008.0340705,19555581.61460147,19555581.61460147,19555581.61460147,19555581.61460147
ADCY9,32087692.012345962,8923179.795745242,8923179.795745242,15307045.466991639,15307045.466991639,15307045.466991639,15307045.466991639
ADCYAP1R1,33147531.23352639,69926616.76004466,9245646.968087435,139475645.01093885,14630620.21022861,88420484.29787669,150317358.05681923
ADD1,12753484562.211756,14535680990.644886,16815395634.508951,16380355702.008816,14654969684.93831,14688888499.582876,11979892961.051292
ADD2,12413583235.183022,11272955039.859442,12541661370.908833,13560744239.67633,14400867343.030653,12790379817.845057,9977930125.714296
ADD3,2990513872.3403764,4625199384.744536,4609276218.29394,5188368261.677384,4518610681.38849,4419069994.595221,3876288033.569236
ADH1B,10345966.244149964,10345966.244149964,10345966.244149964,10910217.9716155,10910217.9716155,10910217.9716155,81571826.24866591
ADH5,4395009646.669465,4687747345.872621,4810152739.599086,3919665712.258334,4726943121.032422,4432843689.297424,4468764551.220464
ADHFE1,19030075.86535072,50349243.11260859,8511107.10354324,15823405.47764019,15823405.47764019,15823405.47764019,15823405.47764019
ADIRF,19517802.4156815,107697936.65746151,127836743.19444507,478579929.4060088,31067261.67960347,31067261.67960347,262698402.13822827
ADK,366327155.61458474,696844994.6400241,61495930.60748293,338976009.4422243,423901145.9338404,274639349.7112008,250038598.1208441
ADNP,9029991.335553855,33713971.99300645,9029991.335553855,21920758.17753569,21920758.17753569,21920758.17753569,21920758.17753569
ADO,313374436.0076179,92238789.36398345,115843159.43636592,269657289.10805213,315950450.1784043,290006531.86804664,246654416.3981705
ADPRHL2,37560731.47695669,114656984.58889875,137181435.1810861,234165175.51415232,249938708.8585277,180852383.660805,288723862.4269087
ADRBK1,1138841229.0162742,395601671.57810557,573443940.9339406,693615036.1772053,572486313.6252571,476502769.32305056,363928521.17997754
ADRBK2,24410167.38981084,9917417.527479883,42827925.880620174,9817158.146844242,9817158.146844242,9817158.146844242,9817158.146844242
ADRM1,263818975.29256013,185983585.01238856,170100161.63724944,237860464.1442806,41445202.545137234,332967072.0057024,291739144.0368653
ADSL,166948220.60648447,180541270.31729132,118420007.02240323,117083405.47855997,228683597.74684134,165378221.09767455,163149585.4057165
ADSS,605975477.7432607,863457965.5486715,794886073.0266681,669474199.2949283,1043017727.7098328,858084557.1623863,985786553.2304617
AF196779.12,337149692.14198047,530207449.0759876,144296099.6856299,495302345.5169792,47659731.737232655,47659731.737232655,47659731.737232655
AFAP1L1;AFAP1,23593916.747487005,10070012.130219152,10070012.130219152,10012450.040912053,10012450.040912053,10012450.040912053,10012450.040912053
AFG3L2,1834802836.4795702,1183960750.9828777,1685035986.4070187,1745009311.3827956,1534247001.9210417,1546588314.2446387,1489259058.5036027
AFM,22118152.242583133,9795663.575494591,9795663.575494591,11171318.90522521,11171318.90522521,11171318.90522521,11171318.90522521
AFTPH,9806684.557994971,9806684.557994971,9806684.557994971,14361656.277662287,14361656.277662287,14361656.277662287,14361656.277662287
AGAP1,331389905.5774237,341397399.4421785,514065900.26943916,422495423.6916839,347011411.3905685,522886450.0791362,451853786.3061448
AGAP2,915107263.0804065,698766041.0775093,697721343.5360012,773714307.8716365,695860199.903409,782331690.6863191,393622976.61774737
AGAP3,1230888941.6867332,826843415.7253579,921549672.8884213,1141208374.8449297,1095088910.0754895,1322139635.392075,870372326.150005
AGFG1,231704009.09315753,343485410.3550062,565338221.9930276,447497424.5550717,471232229.5312709,353513540.5208472,238265645.00377086
AGFG2,9902181.320334846,9902181.320334846,9902181.320334846,9990753.119579293,9990753.119579293,9990753.119579293,9990753.119579293
AGK,1340170149.8760676,864887075.2079524,343085782.6312404,1771296930.7558632,1571856687.3817794,1289735261.9259362,721220422.3979409
AGL,1766552058.5896065,1904845548.795542,1102273485.1019025,2171949934.8317327,1963025311.1165686,2111235554.7008436,1778399432.4816744
AGO1,186769348.6480894,146740835.7387709,60244167.50783288,251879848.3191347,36241315.17750893,272117700.53295875,254226656.2023423
AGO2,53537956.11757557,5603357.244686716,42947571.05686674,33823326.51446269,33823326.51446269,33823326.51446269,33823326.51446269
AGPAT1,278052568.5255022,232889860.53073987,193257490.58437,432365174.70803154,473362119.4496237,412202111.1044261,14840707.581100922
AGPAT3,130541153.92664626,145236815.6698669,122861867.2995723,156205348.38519552,24848304.596303806,24848304.596303806,24848304.596303806
AGPAT4,84453616.88822588,109542708.17696339,88349767.54860757,27005633.117799643,247270277.25757694,27005633.117799643,27005633.117799643
