Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
FAM136A,43275362.67240652,10967776.730517851,216053880.8519439,11098683.02872121,205549351.19861832,280209138.2498709,217979950.98958954
FAM160A2,38185935.35901392,125485408.03933594,8684994.772874659,10313698.700901575,10313698.700901575,10313698.700901575,10313698.700901575
FAM160B1,50212229.327320404,9565941.941859294,66615099.88099483,13775831.790549017,13775831.790549017,13775831.790549017,13775831.790549017
FAM160B2,9768865.302563103,40547651.20560734,9768865.302563103,11327691.972947413,11327691.972947413,11327691.972947413,11327691.972947413
FAM162A,1678964250.378283,1715437899.8978267,2843712043.590973,1689835061.43333,1941094373.7764544,1870410431.774923,2191903416.0592856
FAM169A,64350222.4292291,6492711.694808396,6492711.694808396,22789148.338102486,22789148.338102486,22789148.338102486,22789148.338102486
FAM171A1,124469789.11825398,122788255.46609406,130171914.98841734,225482244.53492126,19528915.721881825,105339603.20093973,73352978.46986136
FAM171A2,104977939.47277468,65307197.38478769,80510293.0060956,204473409.87251288,17308362.969225623,108145544.62493451,17308362.969225623
FAM171B,133595713.72776636,90201436.72027177,99474311.15424088,45956666.616956286,141765613.38134137,45956666.616956286,298149714.14750373
FAM175B,100492823.09133117,105444962.13572189,97672048.77443303,154697717.53079805,178004195.41524246,17807601.32282251,169078665.07894054
FAM177A1,111677372.82282996,110399811.584856,89853734.63180394,282441278.1054977,263014695.41810355,34329677.23962905,212496741.05347663
FAM184B,167433021.75258234,261922376.3978532,7671702.167244183,387580176.18067366,298515453.0640412,320168320.2513778,186617531.64558542
FAM195B,35536397.59608851,186311666.12091058,6596991.168747387,24624587.192400873,24624587.192400873,24624587.192400873,312109921.68238044
FAM208A,116390725.743576,147368181.6263567,133811435.82592534,43984785.81456932,43984785.81456932,43984785.81456932,43984785.81456932
FAM210B,14312181.850910144,20844927.90505949,34243562.44371743,12735841.049891924,12735841.049891924,12735841.049891924,12735841.049891924
FAM213A,1370188226.2662518,1030190440.9939368,1766912377.686581,1553622062.5445426,1619795746.5126867,1494376979.0157738,1875905833.815447
FAM213B,308067325.9632254,202931984.30564165,272988145.7963097,594662962.4993811,317888377.6358303,340990250.7819197,360314340.4386329
FAM21A,90516966.36617604,12175695.321642337,12175695.321642337,39581676.30849318,40527054.03029077,47360381.632801615,88795275.84049821
FAM3C,55017471.6392381,38456764.265391774,7491271.269990414,22716374.243271656,22716374.243271656,22716374.243271656,22716374.243271656
FAM45A,20885027.68989171,84410787.79441594,8191790.9402514165,214688474.0721676,88895992.72908251,20169525.555788394,20169525.555788394
FAM49A,1354991940.0882106,1256114746.6192563,1102992613.0558383,1311471506.828248,1147537314.2262466,1395387564.5375285,1250421582.5685205
FAM49B,5458454769.449621,5778318993.472348,5337533067.2988405,4638793148.100291,4775363488.860331,5227366717.536284,4814134521.368993
FAM50A,10007443.27774247,10007443.27774247,10007443.27774247,9657115.234525934,9657115.234525934,9657115.234525934,9657115.234525934
FAM63A,8989874.67058278,80836796.49471822,8989874.67058278,14853412.986251177,14853412.986251177,14853412.986251177,14853412.986251177
FAM69A,18505769.236763913,18505769.236763913,18505769.236763913,9746970.945744608,61465304.151276626,9746970.945744608,9746970.945744608
FAM73A,57872671.08808847,55459997.696032055,9279371.577615662,25310673.80911102,25310673.80911102,25310673.80911102,25310673.80911102
FAM81A,10023653.157204637,10023653.157204637,10023653.157204637,9729265.976489695,9729265.976489695,9729265.976489695,9729265.976489695
FAM96B,100287239.56575888,98888536.54513833,7471386.16892375,78292066.56977957,78292066.56977957,78292066.56977957,78292066.56977957
FAM98A,243757043.53323764,288338210.11045235,122528257.51051071,40282231.2495599,277427842.51855016,40282231.2495599,40282231.2495599
FAM98B,376615572.8555622,345670612.04367334,239908122.44500017,298912043.6366815,462022790.91264737,253260611.82236227,198230501.96333304
FARP1,689184648.1356003,472981402.57328606,312478647.57706624,625009175.8055218,253429525.58883688,274093519.33146566,328630443.0352822
FARS2,10770403.76995568,10770403.76995568,10770403.76995568,51048441.653903395,10388546.393341614,42021971.50205767,52098896.04875106
FARSA,2106122893.13475,1032330242.8660606,1117505233.2518055,1380962808.4910932,1247820785.244518,1819052897.929898,1340272428.2977676
FARSB,4663280130.671646,3015531164.378383,3560245126.3415046,4266255885.3358855,3699514664.8383102,4346229422.487,4542886478.171594
FASN,14253598730.234364,9657596691.969757,8460823400.81194,9869881737.160505,11092238129.704632,9300024436.58115,9932071588.34957
FAT1,10422864.894557055,10422864.894557055,10422864.894557055,10732126.194160778,10732126.194160778,10732126.194160778,10732126.194160778
FAT2,9123303.53059494,9123303.53059494,9123303.53059494,13538322.458557395,13538322.458557395,13538322.458557395,13538322.458557395
FAT3,165496471.55726993,169129650.53259706,206847372.2636233,29760692.40632141,29760692.40632141,29760692.40632141,29760692.40632141
FAU,127255063.92434862,99417359.5905991,93536794.18054873,51405467.70887593,51405467.70887593,51405467.70887593,51405467.70887593
FBL,136295724.45633218,70606925.6078612,81613930.22962917,46728126.63631349,46728126.63631349,315180000.80791587,357056652.8760821
FBLL1,174357309.51275155,74414483.0325487,45143287.21802899,43863613.4244177,43863613.4244177,43863613.4244177,43863613.4244177
FBLN1,19645330.081966303,9414243.424781922,92218880.4457229,13663725.235991893,13663725.235991893,13663725.235991893,13663725.235991893
FBLN2,19134986.96219714,9561404.362899259,9561404.362899259,11614301.685685221,11614301.685685221,11614301.685685221,11614301.685685221
FBN1,9825766.279954089,9825766.279954089,9825766.279954089,11628636.183957402,11628636.183957402,11628636.183957402,11628636.183957402
FBXL15,51968193.979392074,7724792.170496209,44138971.96015417,22742582.232228965,22742582.232228965,22742582.232228965,22742582.232228965
FBXL16,1857310378.962962,2172417889.6093426,2623281542.199432,2016564612.3006928,1671521335.6880834,1960865177.6571574,1700151379.2060475
FBXL18,848197183.1681877,679477110.0842224,616505589.859491,566119635.9248204,464101508.6735855,521604034.84180224,600604829.2712985
FBXL20,26012791.556188505,9593073.403899053,9593073.403899053,11569608.391871091,11569608.391871091,11569608.391871091,11569608.391871091
FBXO2,4691473881.472591,6557492090.100839,7474358759.771178,6107876744.3107395,7121083017.51399,6984046777.34912,7522811564.333141
FBXO21,9529599.35848141,9529599.35848141,9529599.35848141,10615633.07242629,10615633.07242629,10615633.07242629,10615633.07242629
FBXO22,10229793.51005122,10229793.51005122,10229793.51005122,10851974.070603916,10851974.070603916,10851974.070603916,10851974.070603916
FBXO3,40433959.243804686,10328082.533623459,10328082.533623459,10855873.56280781,10855873.56280781,10855873.56280781,10855873.56280781
FBXO41,687006443.2331703,222040235.76541626,197064317.0212294,328585060.4646346,289836602.83139175,384799984.08169854,404294127.11380064
FBXO44,195492899.54360086,96583989.16408037,69082672.38326341,40166779.27076303,175457888.80067897,133576723.63495111,227855838.72341615
FBXO7,10447026.57357493,10447026.57357493,10447026.57357493,10697084.074838957,38889015.665891744,10697084.074838957,10697084.074838957
FBXW9,22454205.302295312,9628522.404587386,9628522.404587386,10749753.354853498,10749753.354853498,10749753.354853498,10749753.354853498
FCGR1A;FCGR1B,11444099.015258057,11444099.015258057,11444099.015258057,10213114.355530152,10213114.355530152,10213114.355530152,10213114.355530152
FCRL1,9865824.905063948,9865824.905063948,9865824.905063948,157728700.225937,11941387.840981033,11941387.840981033,11941387.840981033
FDPS,1838765700.8307946,1233667355.3034842,950077147.0680081,1678633820.6099794,1697844974.900489,1744964199.5068407,1485006400.150261
FDX1,11008464.326404141,11008464.326404141,11008464.326404141,10194270.17376924,59794556.27351795,10194270.17376924,10194270.17376924
FDX1L;FDX1L,25019286.403552182,70726314.323649,85413161.1012019,15367931.055464031,15367931.055464031,291542968.0504147,15367931.055464031
FDXR,178784547.7092391,716185873.7255464,474098975.2433087,276691184.9761651,279074350.9081174,145397410.06797016,44048540.96494539
FECH,1439370977.9294493,1131250446.9491239,1710377504.8738844,1392425829.340075,1347731133.8728619,1548908790.4316366,1837459026.367665
FEN1,9684446.927803949,9684446.927803949,9684446.927803949,12006886.856447669,12006886.856447669,12006886.856447669,12006886.856447669
FER,10225528.66725963,10225528.66725963,10225528.66725963,9698419.299829105,9698419.299829105,9698419.299829105,9698419.299829105
FERMT2,737629563.0596514,708622790.2352186,599191350.8166038,471761354.5018032,625930421.2589724,567312336.7281035,495210917.10773826
FEZ1,10055611.475176627,10055611.475176627,10055611.475176627,10085177.34123937,10085177.34123937,10085177.34123937,10085177.34123937
FGA,145229988.57656038,357974928.076085,2964574490.620689,189062804.1528826,2160450857.9006953,1305815199.7321181,1587117290.8801744
